time[s],flux[W/m2],phi[deg],theta[deg]
0,1336,3.043994242,148.4265101
100,1336,3.469006404,27.35517609
200,1336,8.900444018,10.35248182
300,1336,14.51770018,6.380248022
400,1336,20.16811538,4.634165707
500,1336,25.82610497,3.660787782
600,1336,31.49030609,3.058279274
700,1336,37.15921096,2.644266852
800,1336,42.82971761,2.349183441
900,1336,48.50124436,2.132121926
1000,1336,54.17131335,1.973385899
1100,1336,59.84396989,1.850365746
1200,1336,65.51694732,1.758034064
1300,1336,71.18698031,1.687991812
1400,1336,76.8581457,1.644107324
1500,1336,82.5315639,1.614865643
1600,1336,88.20501425,1.602084332
1700,1336,93.87624532,1.60825495
1800,1336,99.54961666,1.627256322
1900,1336,105.2228845,1.66318079
2000,1336,110.8959966,1.717905367
2100,1336,116.5635342,1.795453506
2200,0,122.2361213,1.898630481
2300,0,127.9082925,2.035496733
2400,0,133.5798833,2.216984549
2500,0,139.2483408,2.465113177
2600,0,144.9178331,2.799894751
2700,0,150.585349,3.276931959
2800,0,156.2470723,4.004227621
2900,0,161.9045352,5.195409211
3000,0,167.5435271,7.481821971
3100,0,173.1313598,13.582457
3200,0,178.0999123,58.07238631
3300,0,175.0597573,160.926585
3400,0,169.530775,171.0903839
3500,0,163.9001139,174.1752217
3600,0,158.2485606,175.6357671
3700,0,152.5863662,176.4882475
3800,0,146.9231472,177.0418539
3900,0,141.2563772,177.4154533
4000,0,135.586073,177.6888058
4100,0,129.9148018,177.8912322
4200,0,124.2428649,178.0434773
4300,1336,118.5726065,178.1548237
4400,1336,112.899865,178.2409973
4500,1336,107.2268732,178.3036396
4600,1336,101.5537017,178.3463583
4700,1336,95.88574676,178.3704761
4800,1336,90.21238127,178.379193
4900,1336,84.53898707,178.3719441
5000,1336,78.86782717,178.3451661
5100,1336,73.19452513,178.3039512
5200,1336,67.5213471,178.2429374
5300,1336,61.84836472,178.1586116
5400,1336,56.17793159,178.0418973
5500,1336,50.50876295,177.8948276
5600,1336,44.83710781,177.6957142
5700,1336,39.16636338,177.4271871
5800,1336,33.49935628,177.0497509
5900,1336,27.83234393,176.5115685
6000,1336,22.1694336,175.6821795
6100,1336,16.51737241,174.2536761
6200,1336,10.88440515,171.3293729
6300,1336,92.79557476,126.2111369
6400,1336,89.43727156,126.3001733
6500,1336,86.0825697,126.1206666
6600,1336,82.75676703,125.6716154
6700,1336,79.47442557,124.9467879
6800,1336,76.26087715,123.9431991
6900,1336,73.14669353,122.6461029
7000,1336,70.14992578,121.045163
7100,1336,67.30234671,119.1311489
7200,1336,64.6343953,116.8946779
7300,1336,62.18110224,114.3332298
7400,1336,59.971454,111.4409646
7500,1336,58.0433562,108.2306034
7600,1336,56.42793633,104.726094
7700,1336,55.16559105,100.9653216
7800,1336,54.2784031,96.99483538
7900,1336,53.78883675,92.88703134
8000,1336,53.70866908,88.7257736
8100,1336,54.04026063,84.58555494
8200,1336,54.77534351,80.55299054
8300,1336,55.89609791,76.70106365
8400,1336,57.37169539,73.09039467
8500,1336,59.18172257,69.76109622
8600,1336,61.28695668,66.74304994
8700,1336,63.65222182,64.05050386
8800,1336,66.2395569,61.68938497
8900,1336,69.02192509,59.65098103
9000,1336,71.96503533,57.92964793
9100,1336,75.03613258,56.51609867
9200,1336,78.21547591,55.39677003
9300,1336,81.47390285,54.55944174
9400,1336,84.78921788,54.00369542
9500,1336,88.13432808,53.71988386
9600,1336,91.49519777,53.70485358
9700,1336,94.84652598,53.95866323
9800,1336,98.1666401,54.48402329
9900,1336,101.4296102,55.28505219
10000,1336,104.6193665,56.37194578
10100,1336,107.709205,57.74994778
10200,1336,110.6657164,59.43466303
